game_id,screen_title_en,screen_title_native,cover_title_en,cover_title_native,release_date
otakunoseiza,Aurora Quest: Otaku no Seiza in Another World,オーロラクエスト おたくの星座 In Another World,Aurora Quest: Otaku no Seiza in Another World,オーロラクエスト おたくの星座 In Another World,1993-12-10
avenger,Avenger,,Avenger,,1990-12-07
ayapsychicdetectiveseriesvol3,[AÝA] Psychic Detective Series Vol 3,,[AÝA] Psychic Detective Series Vol.3,,1992-11-20
babel,Babel,,Babel,,1992-03-27
babyjothesuperhero,Baby Jo in ‟Coming Home”,,Baby Jo: The Super Hero,Baby Jo ベイビー・ジョー The Super Hero ザ・スーパーヒーロー,1992-08-28
bakudenunbalancezone,Bakuden: Unbalance Zone,爆伝 Bakufu-Slump アンバランスゾーン,Bakuden,爆伝,1994-04-22
bakushouyoshimotoshinkigeki,Bakushō Yoshimoto Shinkigeki: Kyō wa Kore Gurai ni Shi Toitaru!,爆笑 吉本新喜劇 今日はこれぐらいにしといたる!,Bakushō Yoshimoto Shinkigeki: Kyō wa Kore Gurai ni Shi Toitaru!,爆笑 吉本新喜劇 今日はこれぐらいにしといたる!,1994-01-03
basted,Basted,Basted バステッド,Basted,Basted バステッド,1994-10-21
dragonseyeshanghai3,Battle 上海 Dragon's Eye 上海IIIドラゴンズアイ,,Battle Shanghai: Dragon's Eye,バトル 上海 ドラゴンズアイ 上海IIIドラゴンズアイ,1992-12-18
bazardegozarrenogamedegozarre,Bazar de Gozarre no Game de Gozarre,バザールでござーるのゲームでござーる,Bazar de Gozarre no Game de Gozarre,バザールでござーるのゲームでござーる,1996-07-26
shadowofthebeast,Beast,,Shadow of the Beast: Mashō no Okite,Shadow of the Beast シャドー･オブ･ザ･ビースト 魔性の掟,1992-03-27
bikkurimandaijikai,Bikkuriman Daijikai,ビックリマン大事界,Bikkuriman Daijikai,ビックリマン大事界,1988-12-23
bishoujosenshisailormoonpce,Bishōjo Senshi Sailor Moon,美少女戦士セーラームーン,Bishōjo Senshi Sailor Moon,美少女戦士セーラームーン,1994-08-05
bishoujosenshisailormooncollection,Bishōjo Senshi Sailor Moon Collection,美少女戦士セーラームーン Collection コレクション,Bishōjo Senshi Sailor Moon Collection,美少女戦士セーラームーン Collection コレクション,1994-11-25
blackholeassault,Black Hole Assault,,Black Hole Assault,Black Hole Assault ブラックホールアサルト,1993-07-23
bloodgear,Blood Gear,,Blood Gear,Blood Gear ブラッド・ギア,1994-10-28
bombermanpanicbomber,Bomberman: Panic Bomber,ボンバーマン ぱにっく ボンバー,Bomberman: Panic Bomber,ボンバーマン ぱにっく ボンバー,1994-12-22
bonanzabros,Bonanza Bros.,,Bonanza Bros.,Bonanza Bros. ボナンザブラザーズ,1992-07-31
brandish,Brandish,,Brandish,Brandish ブランディッシュ,1994-06-17
browning,Browning,,Browning,,1992-02-07
builderland,BuilderLand: The Story of Melba,,Builder Land,Builder Land ビルダーランド,1992-04-01
buraihachigyokunoyuushidensetsu,Burai: Hachigyoku no Yūshi Densetsu,Burai 八玉の勇士伝説,Burai: Hachigyoku no Yūshi Densetsu,Burai ブライ 八玉の勇士伝説,1991-08-09
burai2yamikouteinogyakushuu,Burai II: Yami Kōtei no Gyakushū,Burai ブライII 闇皇帝の逆襲,Burai II: Yami Kōtei no Gyakushū,ブライII 闇皇帝の逆襲,1992-12-18
cal2,CAL II,,CAL II,,1993-03-31
cal2,CAL II,,CAL II,,1993-03-31
cal3,CAL III: Kanketsu-hen,CAL III 完結編,CAL III,,1994-03-25
campaignversiondaisenryaku2,Campaign Version: Daisenryaku II,Campaign Version 大戦略II,Campaign Version: Daisenryaku II,Campaign Version 大戦略II,1992-05-29
cardangels,Cardangels,,Cardangels,Cardangels カードエンジェルス,1994-12-09
cdbattlehikarinoyuusgatachi,CD Battle: Hikari no Yūshatachi,CD Battle 光の勇者たち,CD Battle: Hikari no Yūshatachi,CD Battle 光の勇者たち,1993-03-19
cddenjinrockabillytengoku,CD Denjin: Rockabilly Tengoku,CD電人 ロカビリー天国,CD Denjin: Rockabilly Tengoku,CD電人 ロカビリー天国,1993-07-23
chikichikiboys,Chiki Chiki Boys,,Chiki Chiki Boys,Chiki Chiki Boys チキチキボーイズ,1994-07-15
chouaniki,Chō Aniki,超兄貴,Chō Aniki,超兄貴,1992-12-25
choueiyuudensetsudynastichero,Chō Eiyū Densetsu: Dynastic Hero,超英雄伝説 ダイナスティックヒーロー,Chō Eiyū Densetsu: Dynastic Hero,超英雄伝説 ダイナスティックヒーロー,1994-05-20
choujikuuyousaimacrosseiennolovesong,Chōjikū Yōsai Macross: Eien no Love Song,超時空要塞マクロス Macross 永遠のラヴソング,Chōjikū Yōsai Macross: Eien no Love Song,超時空要塞マクロス Macross 永遠のラヴソング,1992-12-04
choujikuuyousaimacross2036,Chōjikū Yōsai Macross 2036,超時空要塞マクロス Macross 2036,Chōjikū Yōsai Macross 2036,超時空要塞マクロス Macross 2036,1992-04-03
colorwars,Color Wars,,Color Wars,,1992-07-10
cosmicfantasyboukenshounenyuu,Cosmic Fantasy: Bōken Shōnen Yū,コズミック・ファンタジー 冒険少年ユウ,Cosmic Fantasy: Bōken Shōnen Yū,コズミック・ファンタジー 冒険少年ユウ,1990-03-30
cosmicfantasyboukenshounenyuu,Cosmic Fantasy: Bōken Shōnen Yū,コズミック・ファンタジー 冒険少年ユウ,Cosmic Fantasy: Bōken Shōnen Yū,コズミック・ファンタジー 冒険少年ユウ,1990-03-30
cosmicfantasyboukenshounenyuu,Cosmic Fantasy: Bōken Shōnen Yū,コズミック・ファンタジー 冒険少年ユウ,Cosmic Fantasy: Bōken Shōnen Yū,コズミック・ファンタジー 冒険少年ユウ,1990-03-30
cosmicfantasy2boukenshounenban,Cosmic Fantasy 2: Bōken Shōnen Ban,コズミック・ファンタジー2　冒険少年バン,Cosmic Fantasy 2: Bōken Shōnen Ban,コズミック・ファンタジー2　冒険少年バン,1991-04-05
cosmicfantasy3boukenshounenrei,Cosmic Fantasy 3: Bōken Shōnen Rei,コズミック・ファンタジー3 冒険少年レイ,Cosmic Fantasy 3: Bōken Shōnen Rei,コズミック・ファンタジー3 冒険少年レイ,1992-09-25
cosmicfantasy4gingashounendensetsugh,Cosmic Fantasy 4: Ginga Shōnen Densetsu: Gekitō-hen: Hikari no Umi no Naka de...,コズミックファンタジー4 銀河少年伝説 激闘篇 光の宇宙の中で…,Cosmic Fantasy 4: Ginga Shōnen Densetsu: Gekitō-hen: Hikari no Umi no Naka de...,コズミックファンタジー4 銀河少年伝説 激闘篇 光の宇宙の中で…,1994-11-25
cosmicfantasy4gingashounendensetsuth,Cosmic Fantasy 4: Ginga Shōnen Densetsu: Totsunyū-hen: Densetsu e no Prelude,コズミックファンタジー4 銀河少年伝説 突入篇 伝説へのプレリュード,Cosmic Fantasy 4: Ginga Shōnen Densetsu: Totsunyū-hen: Densetsu e no Prelude,コズミックファンタジー4 銀河少年伝説 突入篇 伝説へのプレリュード,1994-06-10
cybercityoedo808kemononoalignment,Cyber City Oedo 808: Media Mix Entertainment: SF Hardboiled Adventure,,Cyber City Oedo 808: Kemono no Alignment,Cyber City Oedo 808 獣の属性 アラインメント,1991-03-15
daisenpuu,Daisenpū Custom,大旋風 Custom,Daisenpū Custom,大旋風 Custom カスタム,1991-07-26
daviscuptennis,Davis Cup Tennis,,The Davis Cup Tennis,The Davis Cup Tennis ザ・デビスカップテニス,1992-04-01
deja,De・Ja,,De・Ja,,1996-07-12
deadofthebrain1and2,Dead of the Brain: Shiryō no Sakebi: Day of the Living Dead / Dead of the Brain 2,Dead of the Brain デッド・オブ・ザ・ブレイン 死霊の叫び Day of the Living Dead / Dead of the Brain 2,Dead of the Brain 1&2: Nightmare Collection,デッド・オブ・ザ・ブレイン1&2: Nightmare Collection,1999-06-03
deathbringertheknightofdarkness,Death Bringer: The Knight of Darkness,,Death Bringer: The Knight of Darkness,Death Bringer デスブリンガー The Knight of Darkness,1990-04-27
dekobokodensetsuhashiruwagamanmer,Dekoboko Densetsu: Hashiru Wagamanmer,デコボコ伝説走るワガマンマー,Dekoboko Densetsu: Hashiru Wagamanmer,デコボコ伝説走るワガマンマー,1990-11-02
dennoutenshidigitalange,Dennō Tenshi: Digital Ange,電脳天使 デジタルアンジュ,Dennō Tenshi: Digital Ange,電脳天使 デジタルアンジュ,1994-11-16
develoassembler,Develo: Starter Kit: Assembler-hen,Develo でべろ でべろスターターキット アセンブラ編,Develo: PC Engine User Kaihatsu System: Develo Starter Kit ・ Assembler-hen,Develo でべろ PCエンジンユーザー開発システム でべろスターターキット・アセンブラ編,1996
develobasic,Develo: Starter Kit: Basic-hen,Develo でべろ でべろスターターキット Basic編,Develo: Starter Kit: Basic-hen,Develo でべろ でべろスターターキット・Basic編,1996
develomagazinevol1,Develo Magazine Vol. 1,,Develo Magazine Vol. 1,Develo Magazine でべろマガジン Vol.1,1996
doraemonnndn,Doraemon: Nobita no Dorabian Night,ドラえもん のび太のドラビアンナイト,Doraemon: Nobita no Dorabian Night,ドラえもん のび太のドラビアンナイト,1992-05-29
doubledragon2therevenge,Double Dragon II: The Revenge,双截龍 II: Double Dragon: The Revenge,Double Dragon II: The Revenge,双截龍 II: Double Dragon: The Revenge,1993-03-12
doukyuusei,Dōkyūsei,同級生,Dōkyūsei,同級生,1995-11-23
doukyuusei,Dōkyūsei,同級生,Dōkyūsei,同級生,1995-11-23
doukyuusei,Dōkyūsei,同級生,Dōkyūsei,同級生,1995-11-23
doukyuusei,Dōkyūsei,同級生,Dōkyūsei,同級生,
download2,Down Load 2,,Down Load 2,Down Load 2 ダウンロード2,1991-03-29
downtownnekketsukoushinkyoku,Downtown Nekketsu Kōshinkyoku: Soreyuke Daiundōkai,ダウンタウン熱血行進曲 それゆけ大運動会,Downtown Nekketsu Kōshinkyoku: Soreyuke Daiundōkai,ダウンタウン熱血行進曲 それゆけ大運動会,1992-12-11
downtownnekketsumonogatari,Downtown Nekketsu Monogatari,ダウンタウン熱血物語,Downtown Nekketsu Monogatari,ダウンタウン熱血物語,1993-12-24
dragonballzidainarusongokuudensetsu,Dragon Ball Z: Idainaru Son Gokū Densetsu,Dragon Ball Z 偉大なる 孫悟空伝説,Dragon Ball Z: Idainaru Son Gokū Densetsu,Dragon Ball Z ドラゴンボール 偉大なる 孫悟空伝説,1994-11-11
dragonhalf,Dragon Half,Dragon Half ドラゴンハーフ,Dragon Half,Dragon Half ドラゴンハーフ,1994-09-30
dragonknightandgraffiti,Dragon Knight,,Dragon Knight & Graffiti,Dragon Knight & Graffiti ドラゴンナイト アンド グラフィティー,1995-03-31
dragonknight2,Dragon Knight II,,Dragon Knight II,,1992-08-07
dragonknight3,Dragon Knight III,,Dragon Knight III,Dragon Knight III ドラゴンナイトIII,1994-07-22
dragonslayerthelegendofheroes,Dragon Slayer: The Legend of Heroes,,Dragon Slayer: The Legend of Heroes: Eiyū Densetsu,Dragon Slayer: The Legend of Heroes ドラゴンスレイヤー 英雄伝説,1991-10-25
dragonslayerthelegendofheroes2,Dragon Slayer: The Legend of Heroes II,,Dragon Slayer: Eiyū Densetsu II: The Legend of Heroes II,Dragon Slayer 英雄伝説II The Legend of Heroes II,1992-12-23
dungeonexplorer2,Dungeon Explorer II,Dungeon Explorer II ダンジョン エクスプローラー 2,Dungeon Explorer II,Dungeon Explorer II ダンジョン エクスプローラーII,1993-03-26
dungeonmastertheronsquest,Dungeon Master: Theron's Quest,,Dungeon Master: Theron's Quest,,1992-09-18
duocomicbakuretsuhunter,Duo Comic: Bakuretsu Hunter,Duo Comic 爆れつハンター,Duo Comic: Bakuretsu Hunter,Duo Comic 爆れつハンター,1994-01-01
eferaandjilioratheemblemfromdarkness,Efera & Jiliora: The Emblem from Darkness,,Efera & Jiliora: The Emblem from Darkness,Efera & Jiliora: The Emblem from Darkness エフェラ アンド ジリオラ ジ・エンブレム フロム ダークネス,1991-12-13
eikanwakiminikyzt,Eikan wa Kimi ni: Kōkō Yakyū Zenkoku Taikai,栄冠は君に 高校野球全国大会,Eikan wa Kimi ni: Kōkō Yakyū Zenkoku Taikai,栄冠は君に 高校野球全国大会,1994-07-15
eiyuusangokushi,Eiyū Sangokushi,英雄三国志,Eiyū Sangokushi,英雄三国志,1993-03-26
emeralddragon,Emerald Dragon,エメラルドドラゴン,Emerald Dragon,Emerald Dragon エメラルド ドラゴン,1994-01-28
emeralddragon,Emerald Dragon,エメラルドドラゴン,Emerald Dragon,Emerald Dragon エメラルド ドラゴン,
exiletokinohazamae,Exile: Toki no Hazama e,エグザイル　時の狭間に,Exile: Toki no Hazama e,エグザイル　時の狭間に,1991-03-29
exile2janennojishou,Exile II: Janen no Jishō,エグザイルII 邪念の事象,Exile II: Janen no Jishō,エグザイルII 邪念の事象,1992-09-22
f1circusspecialpoletowin,F1 Circus Special: Pole to Win,,F1 Circus Special: Pole to Win,F1 Circus Special: Pole to Win エフワン サーカス・スペシャル ポールトゥウイン,1992-06-26
midimaze,Faceball,,Faceball,Faceball フェイス ボール,1993-11-26
faerieduststorymeikyuunoelfeene,Faerie Dust Story: Meikyū no Elfeene,Faerie Dust Story 迷宮のエルフィーネ,Faerie Dust Story: Meikyū no Elfeene,Faerie Dust Story 迷宮のエルフィーネ,1990-07-06
cotton,Fantastic Night Dreams: Cotton,,Fantastic Night Dreams: Cotton,Fantastic Night Dreams: Cotton コットン,1993-02-12
farjiusnojakouteineometalfantasy,Farjius no Jakōtei: Neo Metal Fantasy,ファージアスの邪皇帝 Neo Metal Fantasy,Farjius no Jakōtei: Neo Metal Fantasy,ファージアスの邪皇帝 Neo Metal Fantasy,1992-08-29
farjiusnojakouteineometalfantasy,Farjius no Jakōtei: Neo Metal Fantasy,ファージアスの邪皇帝 Neo Metal Fantasy,Farjius no Jakōtei: Neo Metal Fantasy,ファージアスの邪皇帝 Neo Metal Fantasy,
fausseteamour,Fausseté Amour,,Fausseté Amour,,1993-03-26
fiendhunter,Fiend Hunter,,Fiend Hunter,Fiend Hunter フィーンドハンター,1993-04-16
fightingstreet,Fighting Street,,Fighting Street,Fighting Street ファイティング・ストリート,1988-12-04
fightingstreet,Fighting Street,,Fighting Street,Fighting Street ファイティング・ストリート,
finalzone2,Final Zone II,,Final Zone II,Final Zone II ファイナルゾーンII,1990-03-23
flashhiders,Flash Hiders,Flash Hiders フラッシュ ハイダース,Flash Hiders,Flash Hiders フラッシュ ハイダース,1993-12-19
lostworlds,Forgotten Worlds,,Forgotten Worlds,Forgotten Worlds フォゴットンワールド,1992-03-27
formationsoccer95dellaseriea,Formation Soccer 95 della Serie A,Formation Soccer 95 della セリエ A,Formation Soccer 95 della Serie A,Formation Soccer 95 della セリエ A フォーメーションサッカー95デッラセリエA,1995-04-07
frayinmagicaladventurecd,Fray In Magical Adventure,,Fray In Magical Adventure CD: Xak Gaiden,Fray in Magical Adventure CD: Xak外伝,1994-03-30
fushiginouminonadiatsobw,Fushigi no Umi no Nadia: The Secret of Blue Water,ふしぎの海のナディア The Secret of Blue Water,Fushigi no Umi no Nadia: The Secret of Blue Water,ふしぎの海のナディア The Secret of Blue Water,1993-01-29
fuuunkabukidentengaimakyou,Fūun Kabuki-den: Tengai Makyō: Far East of Eden,風雲カブキ伝 天外魔境 Far East of Eden,Fūun Kabuki-den: Tengai Makyō: Far East of Eden,風雲カブキ伝 天外魔境 Far East of Eden,1993-07-10
gainground,Gain Ground,,Gain Ground SX,,1992-12-25
galaxydekagayvan,Galaxy Deka Gayvan,Galaxy刑事 Gayvan,Galaxy Deka Gayvan,Galaxy刑事 Gayvan ギャラクシーでか ガイバン,1993-10-29
garoudensetsu2at,Garō Densetsu 2: Aratanaru Tatakai,GarouDensetsu 2 餓狼伝説2 新たなる闘い,Garō Densetsu 2: Aratanaru Tatakai,餓狼伝説2 新たなる闘い,1994-03-12
garoudensetsuspecial,Garō Densetsu Special,GarouDensetsu 餓狼伝説 Special,Garō Densetsu Special,餓狼伝説 Special がろうでんせつスペシャル,1994-12-02
gateofthunder,Gate of Thunder,Gate of Thunder ゲート・オブ・サンダー,Gate of Thunder,Gate of Thunder ゲート オブ サンダー,1992-02-21
genocide,Genocide,,Genocide,Genocide ジェノサイド,1992-06-26
gensoutairikuauleria,Gensō Tairiku Auleria,幻蒼大陸 Auleria,Gensō Tairiku Auleria,幻蒼大陸 Auleria,1993-02-26
gingakukeisensetsusapphire,Ginga Fukei Densetsu Sapphire,銀河婦警伝説サファイア,Ginga Fukei Densetsu Sapphire,銀河婦警伝説サファイア,1995-11-24
gingaojousamadensetsuyuna,Ginga Ojōsama Densetsu: Galaxy Freulein Yuna,銀河お嬢様伝説 Galaxy Fraulein ユナ♥,Ginga Ojōsama Densetsu: Galaxy Fraulein Yuna,銀河お嬢様伝説 Galaxy Fraulein ユナ♥,1992-10-23
gingaojousamadensetsuyuna,Ginga Ojōsama Densetsu: Galaxy Freulein Yuna (HuVideo),銀河お嬢様伝説 Galaxy Fraulein ユナ♥ (HuVideo),Ginga Ojōsama Densetsu: Galaxy Fraulein Yuna (HuVideo),銀河お嬢様伝説 Galaxy Fraulein ユナ♥ (HuVideo),1992-10-23
gingaojousamadensetsuyuna2enp,Ginga Ojōsama Densetsu: Galaxy Freulein Yuna 2: Eien no Princess,銀河お嬢様伝説 Galaxy Fraulein ユナ♥2　永遠のプリンセス,Ginga Ojōsama Densetsu: Galaxy Freulein Yuna 2: Eien no Princess,銀河お嬢様伝説 Galaxy Fraulein ユナ♥2　永遠のプリンセス,1995-06-30
gogobirdiechance,Go!Go! Birdie Chance,Go!Go! バーディーチャンス,Go!Go! Birdie Chance,Go!Go! バーディーチャンス,1996-06-28
godpanicshijousaikyounogundan,God Panic: Shijō Saikyō no Gundan,ゴッドパニック 至上最強軍団,God Panic: Shijō Saikyō no Gundan,ゴッドパニック 至上最強軍団,1992-11-27
godzillabakutouretsuden,Godzilla Bakutō Retsuden,ゴジラ爆闘烈伝,Godzilla Bakutō Retsuden,ゴジラ爆闘烈伝,1994-02-26
goldenaxe,Golden Axe,戦斧 Golden Axe,Golden Axe,戦斧 Golden Axe ゴールデン　アックス,1990-03
goldenaxe,Golden Axe,戦斧 Golden Axe,Golden Axe,戦斧 Golden Axe ゴールデン　アックス,1990-03
gotzendiener,Götzendiener,,Götzendiener,Götzendiener ゲッツェンディーナー,1994-11-25
gradius2gofernoyabou,Gradius II: Gofer no Yabō,Gradius II: Goferの野望,Gradius II: Gofer no Yabō,Gradius II: Goferの野望,1992-12-18
gsmikami,GS Mikami,GS美神 ゴーストスイーパー,GS Mikami,GS美神 ゴーストスイーパー,1994-07-29
gulclighttdf2,Gulclight TDF 2,Gulclight ガルクライト TDF2,Gulclight TDF 2,ガルクライト TDF2,1991-01-25
kuusoukagakusekaigulliverboy,Gulliver Boy,,Kūsō Kagaku Sekai Gulliver Boy,Gulliver Boy 空想科学世界ガリバーボーイ,1995-05-26
gyuwamblerjikochuushinhag36j,Gyuwambler Jiko Chūshinha: CD dayo Zenin Shūgō: Gekitō 36 Janshi,ぎゅわんぶらあ自己中心派 CDだよ全員集合!! 激闘36雀士,Gyuwambler Jiko Chūshinha: CD dayo Zenin Shūgō: Gekitō 36 Janshi,ぎゅわんぶらあ自己中心派 CDだよ全員集合!! 激闘36雀士,1989-11-24
gyuwamblerjikochuushinhag36j,Gyuwambler Jiko Chūshinha: CD dayo Zenin Shūgō: Gekitō 36 Janshi,ぎゅわんぶらあ自己中心派 CDだよ全員集合!! 激闘36雀士,Gyuwambler Jiko Chūshinha: CD dayo Zenin Shūgō: Gekitō 36 Janshi,ぎゅわんぶらあ自己中心派 CDだよ全員集合!! 激闘36雀士,1989-11-24
gyuwamblerjikochuushinhampc,Gyuwambler Jiko Chūshinha: Mahjong Puzzle Collection,ぎゅわんぶらあ自己中心派 麻雀パズルコレクション,Gyuwambler Jiko Chūshinha: Mahjong Puzzle Collection,ぎゅわんぶらあ自己中心派 麻雀パズルコレクション,1992-02-28
hatarakushoujotekipakiworkinglove,Hataraku Shōjo: Tekipaki Working Love,はたらく☆少女 てきぱきワーキン♥ラブ,Hataraku Shōjo: Tekipaki Working Love,はたらく☆少女 てきぱきワーキン♥ラブ,1997-03-28
hatsukoimonogatari,Hatsukoi Monogatari,初恋物語,Hatsukoi Monogatari,初恋物語,1994-04-28
hatsukoimonogatari,Hatsukoi Monogatari,初恋物語,Hatsukoi Monogatari,初恋物語,
hawkf123,Hawk F-123,,Hawk F-123,,1992-03-13
hellfire,Hellfire S: The Another Story,,Hellfire S ヘルファイヤーS,,1991-04-12
highgrenadier,High Grenadier,,High Grenadier,High Grenadier ハイグレネーダー,1991-04-12
hihoudensetsuchrisnobouken,Hihō Densetsu: Chris no Bōken,秘宝伝説 クリスの冒険,Hihō Densetsu: Chris no Bōken,秘宝伝説 クリスの冒険,1991-12-13
himitsunohanazono,Himitsu no Hanazono,秘密の花園,Himitsu no Hanazono,秘密の花園,1993-12-10
horrorstory,Horror Story,ホラーストーリー,Horror Story,ホラーストーリー,1993-02-26
powergolf2golfer,HuPGA Tour: PowerGolf 2: Golfer,,HuPGA Tour: PowerGolf 2: Golfer,HuPGA Tour: PowerGolf 2 パワーゴルフ　ツー Golfer,1994-03-04
humansportsfestival,Human Sports Festival,,Human Sports Festival,Human Sports Festival ヒューマンスポーツフェスティバル,1992-02-28
hyakumonogatarihnawh,Hyaku Monogatari: Honto ni Atta Kowai Hanashi,百物語 ほんとにあった怖い話,Hyaku Monogatari: Honto ni Atta Kowai Hanashi,百物語 ほんとにあった怖い話,1995-08-04
sidearmshd,Hyper Dyne: Side Arms Special,,Hyper Dyne: Side Arms Special,Hyper Dyne: Side Arms Special サイドアーム　スペシャル,1989-12-15
sidearmshd,Hyper Dyne: Side Arms Special,,Hyper Dyne: Side Arms Special,Hyper Dyne: Side Arms Special サイドアーム　スペシャル,1989-12-15
hyperwars,Hyper Wars,,Hyper Wars,Hyper Wars ハイパーウォーズ,1994-11-05
iqpanic,IQ Panic,,IQ Panic,IQ Panic アイキュー パニック,1992-02-21
iganindengaou,Iga Ninden Gaō,伊賀忍伝 凱王,Iga Ninden Gaō,伊賀忍伝 凱王,1993-12-10
imagefight2operationdeepstriker,ImageFight II: Operation Deepstriker,,ImageFight II: Operation Deepstriker,ImageFight II イメージファイト2 Operation Deepstriker,1992-12-18
inouemamikhnthnk,Inoue Mami: Kono Hoshi ni Tatta Hitori no Kimi,井上麻美 Mami Inoue この星にたったひとりのキミ Je ne l'oublierai jamais‚ ma petite fille Mami.,Inoue Mami: Kono Hoshi ni Tatta Hitori no Kimi,井上麻美 Mami Inoue この星にたったひとりのキミ Je ne l'oublierai jamais‚ ma petite fille Mami.,1992-12-25
jleaguetremendoussoccer94,J.League Tremendous Soccer '94,,J.League Tremendous Soccer '94,J.League Tremendous Soccer '94 Jリーグ トリメンダスサッカー'94,1994-12-23
jacknicklausturbogolf,Jack Nicklaus' World Tour Golf: 162 Holes,ジャック・ニクラウス 162ホール ワールド・ゴルフ・ツアー,Jack Nicklaus' World Tour Golf: 162 Holes,Jack Nicklaus' World Tour Golf ジャック・ニクラウス 162ホール ワールド・ゴルフ・ツアー,1990-09-14
janshindensetsuquestofjongmaster,Janshin Densetsu: Quest of Jongmaster,雀神伝説 Quest of Jongmaster,Janshin Densetsu: Quest of Jongmaster,雀神伝説 Quest of Jongmaster,1995-02-24
janteimonogatari,Jantei Monogatari,雀偵物語,Jantei Monogatari,雀偵物語,1990-10-09
janteimonogatari2utdkh,Jantei Monogatari 2: Kanketsu-hen,雀偵物語2 完結編,Jantei Monogatari 2: Uchū Tantei Diban: Kanketsu-hen,雀偵物語2 宇宙探偵ディバン 完結編,1992-04-24
janteimonogatari2utdsh,Jantei Monogatari 2: Shutsudō-hen,雀偵物語2 出動編,Jantei Monogatari 2: Uchū Tantei Diban: Shutsudō-hen,雀偵物語2 宇宙探偵ディバン 出動編,1992-02-28
janteimonogatari3saverangels,Jantei Monogatari 3: Saver Angels,雀偵物語3 セイバーエンジェル Saver Angels,Jantei Monogatari 3: Saver Angels,雀偵物語3 セイバーエンジェル Saver Angels,1993-04-23
jimpowerinmutantplanet,Jim Power in ‟Mutant Planet”,,Jim Power,Jim Power ジム・パワー,1993-03-19
juuouki,Jūōki,獣王記,Jūōki,獣王記,1989-09-22
juuouki,Jūōki,獣王記,Jūōki,獣王記,
kabukiittouryoudan,Kabuki: Ittō Ryōdan,カブキ 一刀涼談,Kabuki: Ittō Ryōdan,カブキ 一刀涼談,1995-02-24
kagaminokuninolegend,Kagami no Kuni no Legend,鏡の国のレジェンド,Kagami no Kuni no Legend,鏡の国のレジェンド,1990-10-27
